name,county,acres,long,lat,year,date_end,date_start,month,days
Elk Fire,Kern,16,-119.2877,35.188,2017,1/9/2018,6/2/2017,6,221
Canyon Fire,Riverside,17,-116.99229,33.88466,2017,1/9/2018,5/14/2017,5,240
Lonoak Fire,Monterey,17,-120.94328,36.2771,2017,1/9/2018,5/17/2017,5,237
Rocky Fire,San Luis Obispo,17,-120.474,35.556667,2017,1/9/2018,5/20/2017,5,234
Sky Fire,Shasta,17,-122.17384,40.69259,2017,1/9/2018,7/29/2017,7,164
Corner Fire,Shasta,17,-121.5935,40.92602,2017,1/9/2018,8/17/2017,8,145
Ramblin Fire,Mariposa,17,-119.87465,37.41231,2017,1/9/2018,10/3/2017,10,98
Pine Fire,Monterey,18,-120.86682,36.1727,2017,1/9/2018,5/16/2017,5,238
Panoche Fire,Fresno,18,-120.7109,36.61332,2017,1/9/2018,5/28/2017,5,226
Lakeland Fire,Butte,18,-121.54722,39.53944,2017,1/9/2018,7/4/2017,7,189
Bodega Fire,Sonoma,18,-122.71998,38.26294,2017,1/9/2018,8/27/2017,8,135
Fay Fire,Kern,19,-118.30601,35.71704,2017,1/9/2018,5/1/2017,5,253
King Fire,Siskiyou,19,-122.645079,40.703775,2017,1/9/2018,6/26/2017,6,197
Sway Fire,Humboldt,19,-123.57562,40.39799,2017,1/9/2018,8/1/2017,8,161
Willms Fire,Stanislaus,19,-120.65764,37.81827,2017,1/9/2018,7/18/2017,7,175
Nuevo Fire,Riverside,19,-117.124538,33.797216,2017,1/9/2018,8/13/2017,8,149
Garden Fire,Nevada,19,-121.13737,39.06414,2017,1/9/2018,10/10/2017,10,91
Longhorn Fire,Riverside,19,-116.91023,33.88994,2017,1/9/2018,12/13/2017,12,27
Nacimiento Fire,Monterey,20,-120.92482,35.77082,2017,1/9/2018,5/14/2017,5,240
City Fire,Kings,20,-119.91508,35.983,2017,1/9/2018,5/18/2017,5,236
Fish Fire,Contra Costa,20,-122.2102,37.86549,2017,1/9/2018,6/5/2017,6,218
Reed Fire,Riverside,20,-116.85226,33.52584,2017,1/9/2018,6/13/2017,6,210
Range Fire,Mendocino,20,-123.10227,39.13207,2017,1/9/2018,7/17/2017,7,176
Seine Fire,San Bernardino,20,-117.199,34.139,2017,1/9/2018,7/22/2017,7,171
Falls Fire,Tuolumne,20,-120.31157,37.65986,2017,1/9/2018,8/1/2017,8,161
36 Fire,Tehama,20,-122.24731,40.20077,2017,1/9/2018,10/3/2017,10,98
Fort Fire,Sonoma,20,-123.24713,38.51937,2017,1/9/2018,10/7/2017,10,94
Blue Fire,Humboldt,20,-123.96844,40.88516,2017,1/9/2018,10/8/2017,10,93
Bitterwater Fire,San Benito,21,-120.99552,36.35578,2017,1/9/2018,5/22/2017,5,232
Highway Fire,Butte,21,-121.4143,39.364,2017,1/9/2018,6/22/2017,6,201
Globe Fire,Tulare,21,-118.81979,36.10858,2017,1/9/2018,7/5/2017,7,188
Mule Fire,Lake,21,-122.49327,39.01748,2017,1/9/2018,9/5/2017,9,126
Soda Fire,San Luis Obispo,21,-120.00353,35.41112,2017,1/9/2018,10/20/2017,10,81
Refuge Fire,Napa,22,-122.2654,38.68347,2017,1/9/2018,6/13/2017,6,210
Gold Fire,Calaveras,22,-120.67848,38.20176,2017,1/9/2018,7/5/2017,7,188
Edwards Fire,Alameda,22,-122.169,37.77982,2017,1/9/2018,9/26/2017,9,105
Portola Fire,Riverside,23,-117.02132,33.50488,2017,1/9/2018,10/10/2017,10,91
Ribbonwood Fire,San Diego,25,-116.29296,32.679,2017,1/9/2018,5/24/2017,5,230
5 Fire,Los Angeles,25,-118.37539,34.29931,2017,1/9/2018,6/3/2017,6,220
Road Fire,Madera,25,-119.95136,37.02081,2017,1/9/2018,6/18/2017,6,205
Sloane Fire,San Diego,25,-116.8516,32.7789,2017,1/9/2018,6/27/2017,6,196
Hopper Fire,Shasta,25,-122.02525,40.71923,2017,1/9/2018,9/1/2017,9,130
Cove Fire,San Luis Obispo,25,-121.04445,35.76343,2017,1/9/2018,9/23/2017,9,108
Border 9 Fire,San Diego,25,-116.61609,32.59252,2017,1/9/2018,9/7/2017,9,124
Wilson Fire,San Diego,25,-116.50897,33.18716,2017,1/9/2018,10/15/2017,10,86
Fairview Fire,Riverside,26,-116.59719,33.94788,2017,1/9/2018,6/1/2017,6,222
Trellis Fire,Riverside,26,-117.31924,33.71025,2017,1/9/2018,6/18/2017,6,205
Jasper Fire,Yuba,26,-121.40947,39.03168,2017,1/9/2018,9/26/2017,9,105
Vernon Fire,Riverside,27,-116.96079,33.82165,2017,1/9/2018,6/3/2017,6,220
4-10 Fire,Modoc,27,-120.31814,41.64469,2017,1/9/2018,8/30/2017,8,132
Nuevo Fire,Riverside,28,-117.11659,33.79925,2017,1/9/2018,6/15/2017,6,208
Shore Fire,Del Norte,28,-124.19629,41.93323,2017,1/9/2018,6/26/2017,6,197
4-4 Fire,Modoc,28,-120.36659,41.4844,2017,1/9/2018,8/30/2017,8,132
32 Fire,Butte,28,-121.7127,39.8255,2017,1/9/2018,9/25/2017,9,106
Benson Fire,Tehama,29,-122.42606,40.29118,2017,1/9/2018,7/8/2017,7,185
Ice Fire,El Dorado,29,-120.46234,38.77921,2017,1/9/2018,10/10/2017,10,91
Timber Fire,Riverside,30,-117.25411,33.96896,2017,1/9/2018,7/3/2017,7,190
Blocksburg Fire,Humboldt,30,-123.64281,40.27582,2017,1/9/2018,8/3/2017,8,159
Castaic Fire,Los Angeles,30,-118.62882,34.52055,2017,3/22/2018,8/31/2017,8,203
Hub Fire,Kern,31,-118.4683,35.60001,2017,1/9/2018,5/12/2017,5,242
Juniper Fire,Fresno,31,-120.443545,36.099681,2017,1/9/2018,8/23/2017,8,139
York Fire,Monterey,31,-121.80377,36.5858,2017,1/9/2018,10/15/2017,10,86
Pleyto Fire,Monterey,32,-120.983684,35.902149,2017,1/9/2018,6/11/2017,6,212
Shore Fire,Monterey,32,-120.93371,35.90092,2017,1/9/2018,6/16/2017,6,207
Washington Fire,Riverside,32,-117.07975,33.62613,2017,1/9/2018,7/13/2017,7,180
Sandy Fire,Trinity,32,-123.39253,40.79902,2017,1/9/2018,8/2/2017,8,160
Sandy Fire,Trinity,32,-123.375,40.804,2017,1/9/2018,8/2/2017,8,160
Creek Fire,Kern,33,-118.4642,35.60633,2017,1/9/2018,6/4/2017,6,219
Valley Fire,Riverside,33,-116.972036,33.584036,2017,1/9/2018,6/13/2017,6,210
Christmas Fire,Riverside,33,-117.314994,33.763304,2017,1/9/2018,7/7/2017,7,186
Valley Fire,San Benito,34,-121.30983,36.85596,2017,1/9/2018,7/4/2017,7,189
Miller Fire,Humboldt,34,-123.64214,40.03697,2017,1/9/2018,8/31/2017,8,131
Ellie Fire,Riverside,34,-117.33364,33.73547,2017,1/9/2018,9/10/2017,9,121
Meyers Fire,San Bernardino,34,-117.40625,34.21829,2017,1/9/2018,12/5/2017,12,35
Smiley Fire,Riverside,35,-117.20507,33.96419,2017,1/9/2018,5/21/2017,5,233
Breckenridge Fire,Kern,35,-118.84134,35.37351,2017,1/9/2018,6/9/2017,6,214
Latrobe Fire,Sacramento,35,-120.92162,38.45822,2017,1/9/2018,6/27/2017,6,196
Jurupa Fire,Riverside,35,-117.48405,33.99316,2017,1/9/2018,7/4/2017,7,189
Spaletta Fire,Marin,35,-122.77846,38.08055,2017,1/9/2018,7/12/2017,7,181
Melba Fire,Riverside,35,-117.10301,33.74925,2017,1/9/2018,9/29/2017,9,102
Black Fire,San Diego,36,-116.77342,33.1683,2017,1/9/2018,6/25/2017,6,198
Banderilla Fire,Mariposa,36,-120.34802,37.65963,2017,1/9/2018,7/7/2017,7,186
Bridge Fire,Shasta,37,-122.309,40.774,2017,1/9/2018,10/31/2017,10,70
Red Fire,Tuolumne,38,-120.45268,37.85137,2017,1/9/2018,6/11/2017,6,212
Pine Fire,Marin,38,-122.65749,37.9775,2017,1/9/2018,6/27/2017,6,196
Toll Fire,Solano,39,-122.23004,38.07481,2017,1/9/2018,6/22/2017,6,201
Spenceville Fire,Yuba,39,-121.3519,39.06522,2017,1/9/2018,7/24/2017,7,169
Table Fire,Tuolumne,39,-120.504134,37.896778,2017,3/26/2018,9/19/2017,9,188
Reservation Fire,Monterey,40,-121.74826,36.66684,2017,1/9/2018,7/16/2017,7,177
Murphy Fire,Lake,40,-122.62382,38.86056,2017,1/9/2018,7/17/2017,7,176
Vestal Fire,Tehama,40,-122.70449,40.29831,2017,1/9/2018,8/26/2017,8,136
Translator Fire,Humboldt,40,-123.63721,41.02705,2017,1/9/2018,8/28/2017,8,134
Hole Fire,Del Norte,40,-124.01168,41.98128,2017,1/9/2018,9/12/2017,9,119
Lakewood Fire,Kern,40,-118.46734,35.59302,2017,1/9/2018,9/29/2017,9,102
Jones Fire,Shasta,40,-122.24199,40.70627,2017,1/9/2018,10/8/2017,10,93
Freeway Fire,San Bernardino,40,-117.4982,34.13534,2017,1/9/2018,10/24/2017,10,77
Riverdale Fire,Riverside,40,-117.4764,33.96514,2017,1/9/2018,12/4/2017,12,36
Palm Fire,Riverside,40,-116.50151,33.90327,2017,1/9/2018,11/14/2017,11,56
Feed Fire,Kern,41,-118.90004,35.05076,2017,1/9/2018,5/14/2017,5,240
Stokes Fire,Los Angeles,41,-118.70294,34.10446,2017,1/9/2018,6/29/2017,6,194
Ward Fire,Siskiyou,41,-122.9401,41.99279,2017,1/9/2018,8/13/2017,8,149
Jones Fire,Modoc,42,-120.53443,41.38247,2017,1/9/2018,6/3/2017,6,220
Paskenta Fire,Tehama,42,-122.27379,40.10282,2017,1/9/2018,6/24/2017,6,199
Lockwood Fire,Monterey,42,-121.08753,35.96275,2017,1/9/2018,6/29/2017,6,194
Pine Fire,Monterey,43,-120.87609,36.17297,2017,1/9/2018,9/11/2017,9,120
Roser Fire,Tehama,43,-122.28165,39.81517,2017,1/9/2018,11/2/2017,11,68
Mines Fire,Alameda,44,-121.56425,37.56181,2017,1/9/2018,8/27/2017,8,135
Grace Fire,Shasta,45,-121.85645,40.48712,2017,1/9/2018,4/3/2017,4,281
Pozo Fire,San Luis Obispo,45,-120.44448,35.28738,2017,1/9/2018,10/9/2017,10,92
Riverbottom Fire,Riverside,45,-117.38417,33.9885,2017,1/9/2018,12/21/2017,12,19
Whitepine Fire,Siskiyou,46,-122.4571,41.8721,2017,1/9/2018,6/6/2017,6,217
Hidden Fire,San Bernardino,46,-117.189,34.149,2017,1/9/2018,7/12/2017,7,181
Canyon Fire,Riverside,46,-117.3968,33.6444,2017,1/9/2018,8/27/2017,8,135
Zenon Fire,San Luis Obispo,47,-120.5634,35.06472,2017,1/9/2018,7/20/2017,7,173
Bitterwater Fire,San Benito,47,-121.00391,36.38109,2017,1/9/2018,11/25/2017,11,45
Serenas Fire,Riverside,48,-116.07429,33.58577,2017,1/9/2018,5/28/2017,5,226
Power Fire,Madera,48,-120.90462,36.94652,2017,1/9/2018,9/20/2017,9,111
Douglas Fire,San Diego,50,-117.29509,33.23281,2017,1/9/2018,6/13/2017,6,210
Lago Fire,Riverside,50,-117.16215,33.87739,2017,1/9/2018,7/3/2017,7,190
Grade Fire,Ventura,50,-118.98603,34.20599,2017,1/9/2018,7/4/2017,7,189
West Fire,Yuba,50,-121.303,39.06308,2017,1/9/2018,7/8/2017,7,185
Mesa Fire,Santa Barbara,50,-120.13249,34.72379,2017,1/9/2018,7/17/2017,7,176
Calgary Fire,Kern,50,-118.47307,35.70639,2017,1/9/2018,8/5/2017,8,157
Skeggs Fire,San Mateo,50,-122.3001,37.41591,2017,1/9/2018,9/11/2017,9,120
Tank Fire,Kern,50,-118.56578,35.21556,2017,1/9/2018,10/26/2017,10,75
Wilson Fire,Los Angeles,50,-118.05545,34.22551,2017,1/9/2018,10/17/2017,10,84
Extension Fire,Riverside,50,-117.00589,33.8826,2017,1/9/2018,10/23/2017,10,78
Weller Fire,Santa Clara,51,-121.84108,37.44485,2017,1/9/2018,7/26/2017,7,167
Quimby Fire,Santa Clara,54,-121.76323,37.33454,2017,1/9/2018,6/21/2017,6,202
Bradley Fire,Siskiyou,54,-122.27499,41.222,2017,1/9/2018,8/28/2017,8,134
Bradley Fire,Siskiyou,54,-122.292,41.222,2017,1/9/2018,8/28/2017,8,134
Topanga Fire,Los Angeles,55,-118.58624,34.03941,2017,1/9/2018,6/29/2017,6,194
Owens Fire,Siskiyou,55,-121.90077,41.99483,2017,1/9/2018,8/29/2017,8,133
Estate Fire,Solano,55,-122.0041,38.4446,2017,1/9/2018,9/23/2017,9,108
Bogus Fire,Siskiyou,56,-122.36545,41.93006,2017,1/9/2018,6/18/2017,6,205
Freedom Fire,Fresno,57,-119.51592,36.81476,2017,1/9/2018,7/4/2017,7,189
Live Fire,Tehama,57,-122.3209,40.1583,2017,1/9/2018,7/28/2017,7,165
Tower Fire,San Luis Obispo,58,-120.62825,35.346,2017,1/9/2018,7/7/2017,7,186
Hogback Fire,Tulare,58,-118.99944,36.64404,2017,1/9/2018,7/18/2017,7,175
Slides Fire,Lake,58,-123.03344,39.42604,2017,1/9/2018,9/12/2017,9,119
Silver Fire,Fresno,58,-119.2288,36.7528,2017,1/9/2018,10/11/2017,10,90
Quail Fire,Calaveras,59,-120.85322,38.18303,2017,1/9/2018,7/12/2017,7,181
Fox Fire,Tulare,59,-118.78928,36.18815,2017,1/9/2018,7/17/2017,7,176
Bolla Fire,Tehama,60,-122.83208,40.32063,2017,1/9/2018,6/18/2017,6,205
Lake Fire,Stanislaus,62,-120.4925,37.64898,2017,1/9/2018,7/8/2017,7,185
Bottle Fire,Lake,62,-122.81135,38.94599,2017,1/9/2018,8/8/2017,8,154
Montezuma Fire,San Diego,62,-116.46989,33.20988,2017,1/9/2018,8/26/2017,8,136
Westfall Fire,Mariposa,63,-120.0088,37.36914,2017,1/9/2018,6/15/2017,6,208
Placentia Fire,Riverside,63,-117.18552,33.81976,2017,1/9/2018,7/28/2017,7,165
Orange Fire,Stanislaus,65,-120.68992,37.82934,2017,1/9/2018,6/21/2017,6,202
River Fire,Lassen,67,-120.1064,40.03392,2017,1/9/2018,6/4/2017,6,219
Clay Fire,Sacramento,68,-121.11113,38.33707,2017,1/9/2018,6/1/2017,6,222
Hill Fire,Fresno,69,-119.28241,36.7279,2017,1/9/2018,8/27/2017,8,135
Manning Fire,Fresno,70,-120.5828,36.60736,2017,1/9/2018,5/19/2017,5,235
Felipe Fire,Santa Clara,70,-121.68562,37.25014,2017,1/9/2018,7/10/2017,7,183
Sand Fire,Colusa,70,-122.20127,39.01224,2017,1/9/2018,7/17/2017,7,176
Camatta Fire,San Luis Obispo,70,-120.2913,35.4403,2017,1/9/2018,8/2/2017,8,160
Ellis Fire,Riverside,72,-117.25075,33.75526,2017,1/9/2018,7/18/2017,7,175
Lynch Fire,San Luis Obispo,73,-120.96514,35.78616,2017,1/9/2018,10/13/2017,10,88
Axel Fire,El Dorado,74,-120.97111,38.7803,2017,1/9/2018,7/8/2017,7,185
Bryant Fire,San Bernardino,74,-117.06765,34.07612,2017,1/9/2018,7/7/2017,7,186
Linne Fire,San Luis Obispo,74,-120.56068,35.5956,2017,1/9/2018,9/26/2017,9,105
Tivy Fire,Fresno,76,-119.35901,36.8005,2017,1/9/2018,6/11/2017,6,212
McCourtney Fire (Wind Complex),Nevada,76,-121.08406,39.19325,2017,2/9/2018,10/9/2017,10,123
Spring Fire,Tehama,78,-122.13088,40.38944,2017,1/9/2018,6/4/2017,6,219
Castro Fire,Santa Clara,78,-121.55552,36.96607,2017,1/9/2018,7/23/2017,7,170
Fountain Fire,Tulare,79,-119.00334,35.89423,2017,1/9/2018,5/31/2017,5,223
Mills File,Plumas,79,-120.9204,40.13278,2017,1/9/2018,9/3/2017,9,128
Holiday Fire,El Dorado,80,-119.61865,38.869036,2017,1/9/2018,12/28/2017,12,12
Loma Fire,San Diego,81,-117.46709,33.38613,2017,1/9/2018,10/13/2017,10,88
Country Fire,Monterey,82,-120.64584,35.86596,2017,1/9/2018,8/7/2017,8,155
Ranch Fire,Santa Clara,85,-121.71752,37.3344,2017,1/9/2018,6/29/2017,6,194
Dollar Fire,San Bernardino,85,-117.14466,34.20152,2017,1/9/2018,7/22/2017,7,171
Saw Fire,Humboldt,85,-123.76099,40.11794,2017,1/9/2018,8/3/2017,8,159
Marlborough Fire,Riverside,85,34.015742,117.337331,2017,1/9/2018,8/31/2017,8,131
Vista Fire,Ventura,86,-119.30918,34.34949,2017,1/9/2018,10/24/2017,10,77
Ridge Fire,Lake,87,-122.576,39.15016,2017,1/9/2018,10/6/2017,10,95
Daulton Fire,Madera,90,-120.02027,37.09773,2017,1/9/2018,7/7/2017,7,186
Wilbur Fire,Butte,91,-121.64897,39.52499,2017,1/9/2018,6/6/2017,6,217
Auberry Fire,Fresno,91,-119.65621,36.95104,2017,1/9/2018,7/5/2017,7,188
Reed Fire,Riverside,92,-116.8247,33.57139,2017,1/9/2018,8/7/2017,8,155
Oak Fire,San Bernardino,99,-116.940661,34.035344,2017,1/9/2018,11/29/2017,11,41
Mile Fire,San Bernardino,100,-117.26969,34.19076,2017,1/9/2018,7/31/2017,7,162
Tilton Fire,Santa Clara,100,-121.68165,37.14653,2017,1/9/2018,8/11/2017,8,151
Parkfield Fire,Fresno,100,-120.52189,36.09486,2017,1/9/2018,9/3/2017,9,128
Bally Fire,Santa Clara,100,-121.59899,36.99092,2017,1/9/2018,9/3/2017,9,128
Timm Fire,Solano,100,-121.97233,38.43658,2017,1/9/2018,10/2/2017,10,99
Long Fire,Lake,100,-122.57487,39.0199,2017,1/9/2018,10/14/2017,10,87
Oakmont Fire (Central LNU Complex),Sonoma,100,-122.58152,38.46123,2017,4/5/2018,10/14/2017,10,173
Church Fire,San Diego,100,-116.37345,32.64962,2017,1/9/2018,10/21/2017,10,80
Lariat Fire,Santa Clara,101,-121.8179,37.39801,2017,1/9/2018,7/11/2017,7,182
Coalinga Fire,Fresno,102,-120.32685,36.36113,2017,1/9/2018,8/30/2017,8,132
Humboldt Fire,Butte,103,-121.74121,39.76243,2017,4/12/2018,7/19/2017,7,267
Canyon Fire,Riverside,105,-116.884446,33.950382,2017,1/9/2018,6/15/2017,6,208
Poly Fire,San Luis Obispo,105,-120.65279,35.3024,2017,1/9/2018,9/26/2017,9,105
Lone Fire,Butte,111,-121.5786,39.38416,2017,1/9/2018,6/22/2017,6,201
Flat Fire,Fresno,111,-119.43376,36.93332,2017,1/9/2018,8/26/2017,8,136
Canyon Fire,Napa,114,-122.2483,38.49336,2017,1/9/2018,8/11/2017,8,151
Fallon Fire,Alameda,116,-121.85663,37.7393,2017,1/9/2018,10/17/2017,10,84
Maria Fire,Calaveras,117,-120.62177,38.29113,2017,1/9/2018,7/17/2017,7,176
Lamb Fire,Riverside,120,-116.99651,33.88287,2017,1/9/2018,5/25/2017,5,229
Margarita Fire,San Luis Obispo,120,-120.50886,35.31886,2017,1/9/2018,9/3/2017,9,128
Stewart Fire,Riverside,122,-117.239099,34.009026,2017,1/9/2018,8/4/2017,8,158
Twist Fire,Tuolumne,124,-120.36005,37.90014,2017,1/9/2018,7/30/2017,7,163
Coronado Fire,Mariposa,125,-120.30046,37.62823,2017,1/9/2018,8/13/2017,8,149
Tumey Fire,Fresno,126,-120.6585,36.5355,2017,1/9/2018,4/29/2017,4,255
Oak Fire,Shasta,128,-122.0122,40.69554,2017,1/9/2018,7/1/2017,7,192
Olive Fire,San Luis Obispo,130,-120.22647,35.78286,2017,1/9/2018,5/2/2017,5,252
Border Fire,San Diego,130,-116.76997,32.6001,2017,1/9/2018,9/1/2017,9,130
Point Fire,Calaveras,130,-120.52953,38.40234,2017,1/9/2018,10/9/2017,10,92
Skyway Fire,Butte,134,-121.75417,39.69717,2017,1/9/2018,6/16/2017,6,207
King Fire,Tulare,135,-118.74542,35.8556,2017,1/9/2018,6/13/2017,6,210
Gorman Fire,Los Angeles,135,-118.851943,34.792882,2017,1/9/2018,7/28/2017,7,165
French Fire,El Dorado,136,-120.915,38.5758,2017,1/9/2018,9/17/2017,9,114
Ranch Fire,El Dorado,140,-120.70013,38.559707,2017,1/9/2018,7/26/2017,7,167
Soda Fire,Butte,143,-121.56858,40.07613,2017,1/9/2018,9/28/2017,9,103
Grape Fire,Mendocino,146,-123.1362,39.02482,2017,1/9/2018,9/19/2017,9,112
River Fire,Trinity,148,-123.51619,40.46836,2017,1/9/2018,10/14/2017,10,87
Tower Fire,San Bernardino,150,-117.45646,34.30104,2017,1/9/2018,4/30/2017,4,254
41 Fire,Madera,150,-119.79315,36.90967,2017,1/9/2018,5/17/2017,5,237
Lucy Fire,San Luis Obispo,150,-120.3187,35.6871,2017,1/9/2018,6/14/2017,6,209
Olive Fire,San Luis Obispo,150,-120.23656,35.7751,2017,1/9/2018,7/24/2017,7,169
Honey Fire,Butte,150,-121.67261,39.74679,2017,1/9/2018,10/9/2017,10,92
Smiley Fire,Riverside,153,-117.21314,33.98639,2017,1/9/2018,6/18/2017,6,205
Hill Fire,Siskiyou,155,-121.9741,41.9808,2017,1/9/2018,7/29/2017,7,164
Corral Fire,Alameda,155,-121.49925,37.63358,2017,4/5/2018,9/19/2017,9,198
26 Fire,Madera,157,-120.0193,37.12759,2017,1/9/2018,6/7/2017,6,216
Peg Fire,Lassen,157,-120.48641,40.80968,2017,1/9/2018,8/26/2017,8,136
Honcut Fire,Butte,166,-121.53865,39.37192,2017,1/9/2018,7/10/2017,7,183
Evans Fire,Sierra,168,-120.02325,39.71101,2017,1/9/2018,6/19/2017,6,204
Hills Fire,Riverside,168,-117.00258,33.87679,2017,1/9/2018,8/19/2017,8,143
High Fire,San Bernardino,170,-117.03031,34.41204,2017,1/9/2018,7/23/2017,7,170
Laverne Fire,Shasta,180,-122.43608,40.47106,2017,1/9/2018,7/18/2017,7,175
Quarry Fire,Kern,183,-118.76152,35.19008,2017,1/9/2018,10/12/2017,10,89
Rolling Fire,Kern,184,-118.701,35.3091,2017,4/3/2018,10/15/2017,10,170
Wild Fire,Fresno,186,-120.405077,36.704679,2017,1/9/2018,6/11/2017,6,212
Toll Fire,Plumas,186,-120.89746,39.9864,2017,1/9/2018,8/20/2017,8,142
Wasioja Fire,Santa Barbara,190,-119.8036,34.9465,2017,1/9/2018,5/20/2017,5,234
Tehama Fire,Tehama,194,-121.91425,40.02261,2017,1/9/2018,10/26/2017,10,75
Rose Fire,Riverside,200,-117.396404,33.689092,2017,1/9/2018,7/31/2017,7,162
Eclipse Fire,San Diego,200,-116.42907,32.65003,2017,1/9/2018,8/21/2017,8,141
Range Fire,Alameda,200,-121.90516,37.72543,2017,1/9/2018,8/22/2017,8,140
Skeleton Fire,Lake,200,-122.85194,39.44543,2017,1/9/2018,9/12/2017,9,119
Eagle Fire,Riverside,205,-117.48195,33.85323,2017,1/9/2018,7/4/2017,7,189
Bodfish Fire,Kern,206,-118.47939,35.59804,2017,1/9/2018,6/10/2017,6,213
Arrow Fire,San Luis Obispo,225,-119.87525,35.21177,2017,1/9/2018,5/15/2017,5,239
Camp Fire,San Luis Obispo,225,-120.76464,35.34541,2017,1/9/2018,5/18/2017,5,236
Spring Fire,Mariposa,225,-119.921,37.4591,2017,1/9/2018,7/2/2017,7,191
Deer Complex,Contra Costa,231,-121.78677,37.87808,2017,1/9/2018,7/8/2017,7,185
Largo Fire,El Dorado,236,-121.039267,38.538332,2017,1/9/2018,7/30/2017,7,163
Murphy Fire,Fresno,237,-120.31598,36.24653,2017,1/9/2018,9/19/2017,9,112
Huasna Fire,San Luis Obispo,245,-120.39387,35.12269,2017,1/9/2018,9/20/2017,9,111
Lost Fire,San Diego,255,-116.66107,33.34659,2017,4/12/2018,7/22/2017,7,264
Little Mountain Fire,San Bernardino,260,-117.33334,34.16564,2017,1/9/2018,12/5/2017,12,35
Bravo Fire,Kern,288,-118.84466,35.41283,2017,1/9/2018,5/15/2017,5,239
Liberty Fire,Riverside,300,-117.14979,33.59257,2017,1/9/2018,12/7/2017,12,33
Marble Fire,Del Norte,319,-123.506,41.478,2017,1/9/2018,7/19/2017,7,174
Bryant Fire,San Bernardino,325,-117.03826,34.08492,2017,1/9/2018,8/3/2017,8,159
Rose Fire,Kern,338,-118.9267,34.92907,2017,1/9/2018,8/10/2017,8,152
Dinely Fire,Tulare,339,-118.87676,36.45809,2017,1/9/2018,6/7/2017,6,216
Stone Fire,San Luis Obispo,340,-120.47322,35.42433,2017,1/9/2018,7/9/2017,7,184
Creek Fire,Fresno,357,-120.65185,36.27306,2017,1/9/2018,6/23/2017,6,200
Willow Fire,Contra Costa,370,-122.25544,38.02929,2017,1/9/2018,7/8/2017,7,185
Chris Fire,Mono,370,-119.48284,38.46111,2017,1/9/2018,11/13/2017,11,57
West Fire,Modoc,380,-120.58342,41.16716,2017,1/9/2018,4/3/2017,4,281
Bear Fire,Santa Cruz,391,-122.07012,37.18356,2017,1/9/2018,10/16/2017,10,85
Pleasant Fire,Nevada,392,-121.12004,39.34292,2017,1/9/2018,8/30/2017,8,132
Sonoma Fire,Fresno,400,-120.2445,36.45491,2017,1/9/2018,5/10/2017,5,244
Jennings Fire,San Diego,400,-116.85396,32.84796,2017,1/9/2018,7/11/2017,7,182
Dode Fire,Modoc,410,-121.30451,41.72163,2017,1/9/2018,7/13/2017,7,180
Elephant Fire,Tulare,416,-119.06598,36.22265,2017,1/9/2018,7/20/2017,7,173
Skirball Fire,Los Angeles,422,-118.48178,34.09454,2017,1/23/2018,12/6/2017,12,48
Table Fire,El Dorado,426,-120.287,38.848,2017,1/9/2018,10/13/2017,10,88
Rucker Fire,Santa Barbara,444,-120.4393,34.67403,2017,1/9/2018,9/29/2017,9,102
Monterey Fire,Fresno,450,-120.369347,36.616986,2017,1/9/2018,6/11/2017,6,212
Bridge Fire,San Bernardino,460,-117.10567,34.09773,2017,4/12/2018,7/14/2017,7,272
Red Fire,San Luis Obispo,460,-120.28037,35.40357,2017,1/9/2018,8/2/2017,8,160
Eastman Fire,Madera,483,-120.015509,37.14624,2017,1/9/2018,9/18/2017,9,113
Deluz Fire,San Diego,486,-117.32348,33.3906,2017,1/9/2018,5/19/2017,5,235
Fay Fire,Siskiyou,496,-122.8428,41.3975,2017,1/9/2018,7/5/2017,7,188
Ming Fire,Kern,506,-118.85896,35.4605,2017,1/9/2018,5/20/2017,5,234
W-2 Fire,Lassen,530,-120.74968,41.11989,2017,1/9/2018,8/6/2017,8,156
Ben Fire,Mariposa,558,-119.9646,37.3762,2017,1/9/2018,6/28/2017,6,195
Battle Fire,Modoc,562,-121.29581,41.85763,2017,1/9/2018,6/28/2017,6,195
Mias Fire,Riverside,600,-116.88066,33.95036,2017,1/9/2018,8/14/2017,8,148
Mart Fire,San Bernardino,670,-117.17813,34.14575,2017,1/9/2018,6/27/2017,6,196
Jacksonville Fire,Tuolumne,675,-120.408135,37.905545,2017,1/9/2018,7/29/2017,7,164
Peak Fire,Mariposa,680,-119.83556,37.37397,2017,1/9/2018,9/3/2017,9,128
Farad Fire,Sierra,747,-120.027222,39.439722,2017,1/9/2018,7/10/2017,7,183
El Dorado Fire,Fresno,750,-120.206592,36.530836,2017,1/9/2018,4/28/2017,4,256
Placerita Fire,Los Angeles,760,-118.49343,34.37443,2017,1/9/2018,6/25/2017,6,198
Yankee Fire,San Luis Obispo,775,-120.77485,35.7908,2017,1/9/2018,8/11/2017,8,151
Lobo Fire (Wind Complex),Nevada,821,-121.12792,39.24549,2017,2/9/2018,10/8/2017,10,124
Lake Fire,Los Angeles,850,-118.60703,34.55607,2017,1/9/2018,6/17/2017,6,206
Poslin Fire,Lassen,859,-120.066,39.888,2017,1/9/2018,8/6/2017,8,156
Wildomar Fire,Riverside,866,-117.34192,33.60247,2017,1/9/2018,10/26/2017,10,75
